0o,1x,2x,3o,4o,5o,6x,7x,8o
0o,1x,2x,3x,4o,5x,6o,7o,8o
0x,1o,2x,3x,4x,5o,6o,7o,8o
0x,1o,2o,3o,4o,5x,6x,7o,8x
0o,1o,2x,3x,4o,5x,6o,7x,8o
0o,1o,2o,3x,4x,5o,6x,7o,8x
0o,1x,2o,3o,4x,5x,6o,7x,8o
0o,1x,2o,3x,4o,5o,6o,7x,8x
0o,1x,2x,3o,4o,5o,6o,7x,8x
0o,1o,2x,3o,4x,5o,6o,7x,8x
0o,1o,2x,3x,4o,5x,6o,7o,8x
0o,1x,2o,3o,4o,5x,6x,7x,8o
0o,1x,2x,3x,4x,5o,6o,7o,8o
0o,1x,2o,3x,4o,5x,6o,7x,8o
0x,1x,2o,3o,4o,5x,6o,7o,8x
0o,1x,2o,3o,4o,5o,6x,7x,8x
0o,1x,2o,3o,4o,5x,6o,7x,8x
0x,1o,2o,3o,4o,5o,6x,7x,8x
0o,1o,2x,3x,4o,5o,6x,7x,8o
0o,1x,2x,3o,4o,5x,6o,7x,8o
0o,1x,2o,3x,4o,5o,6x,7x,8o
0x,1o,2o,3x,4x,5o,6o,7x,8o
0o,1o,2o,3x,4o,5x,6x,7o,8x
0x,1o,2x,3x,4o,5x,6o,7o,8o
0x,1x,2o,3o,4x,5x,6o,7o,8o
0o,1o,2o,3x,4x,5o,6x,7x,8o
0o,1x,2x,3o,4x,5o,6o,7x,8o
0o,1o,2x,3x,4o,5o,6x,7o,8x
0o,1o,2o,3x,4x,5x,6o,7x,8o
0x,1o,2x,3o,4o,5x,6o,7o,8x
0x,1x,2o,3x,4o,5o,6o,7o,8x
0x,1o,2o,3o,4o,5x,6o,7x,8x
0o,1x,2o,3o,4x,5o,6o,7x,8x
0o,1o,2o,3x,4o,5o,6x,7x,8x
0o,1o,2o,3x,4x,5o,6o,7x,8x
0o,1o,2x,3x,4o,5x,6x,7o,8o
0o,1o,2o,3x,4x,5x,6o,7o,8x
0x,1o,2x,3o,4x,5x,6o,7o,8o
0x,1o,2o,3x,4o,5x,6o,7o,8x
0o,1o,2o,3x,4x,5x,6x,7o,8o
0o,1x,2x,3x,4o,5o,6o,7x,8o
0o,1o,2o,3o,4o,5x,6x,7x,8x
0o,1o,2o,3o,4x,5o,6x,7x,8x
0x,1x,2o,3x,4o,5o,6o,7x,8o
0x,1o,2o,3x,4o,5o,6o,7x,8x
0o,1x,2x,3o,4x,5o,6o,7o,8x
0x,1o,2x,3o,4o,5o,6x,7o,8x
0o,1x,2x,3x,4o,5o,6x,7o,8o
0o,1o,2o,3o,4x,5x,6x,7o,8x
0x,1x,2o,3o,4o,5x,6o,7x,8o
0o,1x,2x,3o,4o,5x,6x,7o,8o
0x,1x,2o,3x,4o,5x,6o,7o,8o
0o,1x,2x,3o,4x,5x,6o,7o,8o
0x,1o,2o,3o,4x,5o,6x,7x,8o
0x,1x,2o,3x,4x,5o,6o,7o,8o
0x,1x,2o,3o,4o,5o,6o,7x,8x
0o,1o,2o,3x,4o,5x,6x,7x,8o
0o,1o,2x,3o,4o,5x,6o,7x,8x
0o,1x,2x,3o,4o,5x,6o,7o,8x
0x,1x,2o,3o,4o,5o,6x,7o,8x
0o,1o,2x,3o,4x,5x,6o,7x,8o
0o,1o,2x,3o,4o,5x,6x,7x,8o
0o,1o,2o,3x,4o,5x,6o,7x,8x
0o,1x,2x,3o,4o,5o,6x,7o,8x
0x,1o,2x,3o,4o,5o,6x,7x,8o
0x,1x,2o,3o,4x,5o,6x,7o,8o
0o,1o,2x,3o,4o,5o,6x,7x,8x
0o,1o,2o,3o,4x,5x,6x,7x,8o
0o,1o,2x,3o,4x,5x,6o,7o,8x
0o,1o,2x,3o,4o,5x,6x,7o,8x
0o,1x,2o,3x,4o,5x,6x,7o,8o
0x,1o,2o,3x,4o,5x,6o,7x,8o
0o,1x,2o,3o,4x,5x,6o,7o,8x
0x,1o,2x,3o,4o,5x,6x,7o,8o
0o,1x,2o,3x,4x,5o,6x,7o,8o
0x,1o,2x,3x,4o,5o,6o,7o,8x
0x,1o,2x,3o,4o,5o,6o,7x,8x
0o,1o,2o,3o,4x,5x,6o,7x,8x
0x,1x,2o,3o,4o,5o,6x,7x,8o
0o,1x,2o,3x,4o,5x,6o,7o,8x
